region_code,region_name,state_name,category,indicator,value,unit,source_sheet
101021007,Braidwood,New South Wales,Heat,Heat-Health Risk Index,0.39,index 0-1,Heat_Raw_HHRI
101021007,Braidwood,New South Wales,Heat,Heat Exposure Index,0.127,index 0-1,Heat_Raw_HHRI
101021007,Braidwood,New South Wales,Social,Social Vulnerability Index,0.339,index 0-1,Heat_Raw_HHRI
101021007,Braidwood,New South Wales,Housing,Housing Condition Index,0.249,index 0-1,Heat_Raw_HHRI
101021007,Braidwood,New South Wales,Health,Health Status Index,0.787,index 0-1,Heat_Raw_HHRI
101021007,Braidwood,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.133,index 0-1; higher means less risk,Heat_Raw_HHRI
101021007,Braidwood,New South Wales,Age,Population aged 65+,27.0,%,Social_Raw_AGE
101021007,Braidwood,New South Wales,Disadvantage,IRSD score,1024.0,score,SEIFA_Raw
101021008,Karabar,New South Wales,Heat,Heat-Health Risk Index,0.678,index 0-1,Heat_Raw_HHRI
101021008,Karabar,New South Wales,Heat,Heat Exposure Index,0.402,index 0-1,Heat_Raw_HHRI
101021008,Karabar,New South Wales,Social,Social Vulnerability Index,0.72,index 0-1,Heat_Raw_HHRI
101021008,Karabar,New South Wales,Housing,Housing Condition Index,0.498,index 0-1,Heat_Raw_HHRI
101021008,Karabar,New South Wales,Health,Health Status Index,0.681,index 0-1,Heat_Raw_HHRI
101021008,Karabar,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.322,index 0-1; higher means less risk,Heat_Raw_HHRI
101021008,Karabar,New South Wales,Age,Population aged 65+,15.5,%,Social_Raw_AGE
101021008,Karabar,New South Wales,Disadvantage,IRSD score,994.0,score,SEIFA_Raw
101021009,Queanbeyan,New South Wales,Heat,Heat-Health Risk Index,0.7,index 0-1,Heat_Raw_HHRI
101021009,Queanbeyan,New South Wales,Heat,Heat Exposure Index,0.395,index 0-1,Heat_Raw_HHRI
101021009,Queanbeyan,New South Wales,Social,Social Vulnerability Index,0.901,index 0-1,Heat_Raw_HHRI
101021009,Queanbeyan,New South Wales,Housing,Housing Condition Index,0.91,index 0-1,Heat_Raw_HHRI
101021009,Queanbeyan,New South Wales,Health,Health Status Index,0.742,index 0-1,Heat_Raw_HHRI
101021009,Queanbeyan,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.454,index 0-1; higher means less risk,Heat_Raw_HHRI
101021009,Queanbeyan,New South Wales,Age,Population aged 65+,14.4,%,Social_Raw_AGE
101021009,Queanbeyan,New South Wales,Disadvantage,IRSD score,1010.0,score,SEIFA_Raw
101021010,Queanbeyan - East,New South Wales,Heat,Heat-Health Risk Index,0.565,index 0-1,Heat_Raw_HHRI
101021010,Queanbeyan - East,New South Wales,Heat,Heat Exposure Index,0.04,index 0-1,Heat_Raw_HHRI
101021010,Queanbeyan - East,New South Wales,Social,Social Vulnerability Index,0.755,index 0-1,Heat_Raw_HHRI
101021010,Queanbeyan - East,New South Wales,Housing,Housing Condition Index,0.891,index 0-1,Heat_Raw_HHRI
101021010,Queanbeyan - East,New South Wales,Health,Health Status Index,0.528,index 0-1,Heat_Raw_HHRI
101021010,Queanbeyan - East,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.192,index 0-1; higher means less risk,Heat_Raw_HHRI
101021010,Queanbeyan - East,New South Wales,Age,Population aged 65+,13.2,%,Social_Raw_AGE
101021010,Queanbeyan - East,New South Wales,Disadvantage,IRSD score,1025.0,score,SEIFA_Raw
101021012,Queanbeyan West - Jerrabomberra,New South Wales,Heat,Heat-Health Risk Index,0.018,index 0-1,Heat_Raw_HHRI
101021012,Queanbeyan West - Jerrabomberra,New South Wales,Heat,Heat Exposure Index,0.083,index 0-1,Heat_Raw_HHRI
101021012,Queanbeyan West - Jerrabomberra,New South Wales,Social,Social Vulnerability Index,0.092,index 0-1,Heat_Raw_HHRI
101021012,Queanbeyan West - Jerrabomberra,New South Wales,Housing,Housing Condition Index,0.268,index 0-1,Heat_Raw_HHRI
101021012,Queanbeyan West - Jerrabomberra,New South Wales,Health,Health Status Index,0.241,index 0-1,Heat_Raw_HHRI
101021012,Queanbeyan West - Jerrabomberra,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.772,index 0-1; higher means less risk,Heat_Raw_HHRI
101021012,Queanbeyan West - Jerrabomberra,New South Wales,Age,Population aged 65+,10.4,%,Social_Raw_AGE
101021012,Queanbeyan West - Jerrabomberra,New South Wales,Disadvantage,IRSD score,1098.0,score,SEIFA_Raw
101021610,Googong,New South Wales,Heat,Heat-Health Risk Index,0.143,index 0-1,Heat_Raw_HHRI
101021610,Googong,New South Wales,Heat,Heat Exposure Index,0.021,index 0-1,Heat_Raw_HHRI
101021610,Googong,New South Wales,Social,Social Vulnerability Index,0.055,index 0-1,Heat_Raw_HHRI
101021610,Googong,New South Wales,Housing,Housing Condition Index,0.227,index 0-1,Heat_Raw_HHRI
101021610,Googong,New South Wales,Health,Health Status Index,0.074,index 0-1,Heat_Raw_HHRI
101021610,Googong,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.181,index 0-1; higher means less risk,Heat_Raw_HHRI
101021610,Googong,New South Wales,Age,Population aged 65+,4.1,%,Social_Raw_AGE
101021610,Googong,New South Wales,Disadvantage,IRSD score,1128.0,score,SEIFA_Raw
101021611,Queanbeyan Surrounds,New South Wales,Heat,Heat-Health Risk Index,0.134,index 0-1,Heat_Raw_HHRI
101021611,Queanbeyan Surrounds,New South Wales,Heat,Heat Exposure Index,0.319,index 0-1,Heat_Raw_HHRI
101021611,Queanbeyan Surrounds,New South Wales,Social,Social Vulnerability Index,0.034,index 0-1,Heat_Raw_HHRI
101021611,Queanbeyan Surrounds,New South Wales,Housing,Housing Condition Index,0.113,index 0-1,Heat_Raw_HHRI
101021611,Queanbeyan Surrounds,New South Wales,Health,Health Status Index,0.403,index 0-1,Heat_Raw_HHRI
101021611,Queanbeyan Surrounds,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.478,index 0-1; higher means less risk,Heat_Raw_HHRI
101021611,Queanbeyan Surrounds,New South Wales,Age,Population aged 65+,16.2,%,Social_Raw_AGE
101021611,Queanbeyan Surrounds,New South Wales,Disadvantage,IRSD score,1098.0,score,SEIFA_Raw
101031013,Bombala,New South Wales,Heat,Heat-Health Risk Index,0.479,index 0-1,Heat_Raw_HHRI
101031013,Bombala,New South Wales,Heat,Heat Exposure Index,0.043,index 0-1,Heat_Raw_HHRI
101031013,Bombala,New South Wales,Social,Social Vulnerability Index,0.656,index 0-1,Heat_Raw_HHRI
101031013,Bombala,New South Wales,Housing,Housing Condition Index,0.292,index 0-1,Heat_Raw_HHRI
101031013,Bombala,New South Wales,Health,Health Status Index,0.797,index 0-1,Heat_Raw_HHRI
101031013,Bombala,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.23,index 0-1; higher means less risk,Heat_Raw_HHRI
101031013,Bombala,New South Wales,Age,Population aged 65+,28.8,%,Social_Raw_AGE
101031013,Bombala,New South Wales,Disadvantage,IRSD score,965.0,score,SEIFA_Raw
101031014,Cooma,New South Wales,Heat,Heat-Health Risk Index,0.715,index 0-1,Heat_Raw_HHRI
101031014,Cooma,New South Wales,Heat,Heat Exposure Index,0.102,index 0-1,Heat_Raw_HHRI
101031014,Cooma,New South Wales,Social,Social Vulnerability Index,0.903,index 0-1,Heat_Raw_HHRI
101031014,Cooma,New South Wales,Housing,Housing Condition Index,0.575,index 0-1,Heat_Raw_HHRI
101031014,Cooma,New South Wales,Health,Health Status Index,0.869,index 0-1,Heat_Raw_HHRI
101031014,Cooma,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.141,index 0-1; higher means less risk,Heat_Raw_HHRI
101031014,Cooma,New South Wales,Age,Population aged 65+,22.8,%,Social_Raw_AGE
101031014,Cooma,New South Wales,Disadvantage,IRSD score,982.0,score,SEIFA_Raw
101031015,Cooma Surrounds,New South Wales,Heat,Heat-Health Risk Index,0.215,index 0-1,Heat_Raw_HHRI
101031015,Cooma Surrounds,New South Wales,Heat,Heat Exposure Index,0.366,index 0-1,Heat_Raw_HHRI
101031015,Cooma Surrounds,New South Wales,Social,Social Vulnerability Index,0.174,index 0-1,Heat_Raw_HHRI
101031015,Cooma Surrounds,New South Wales,Housing,Housing Condition Index,0.039,index 0-1,Heat_Raw_HHRI
101031015,Cooma Surrounds,New South Wales,Health,Health Status Index,0.647,index 0-1,Heat_Raw_HHRI
101031015,Cooma Surrounds,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.505,index 0-1; higher means less risk,Heat_Raw_HHRI
101031015,Cooma Surrounds,New South Wales,Age,Population aged 65+,26.3,%,Social_Raw_AGE
101031015,Cooma Surrounds,New South Wales,Disadvantage,IRSD score,1039.0,score,SEIFA_Raw
101031016,Jindabyne - Berridale,New South Wales,Heat,Heat-Health Risk Index,0.217,index 0-1,Heat_Raw_HHRI
101031016,Jindabyne - Berridale,New South Wales,Heat,Heat Exposure Index,0.018,index 0-1,Heat_Raw_HHRI
101031016,Jindabyne - Berridale,New South Wales,Social,Social Vulnerability Index,0.207,index 0-1,Heat_Raw_HHRI
101031016,Jindabyne - Berridale,New South Wales,Housing,Housing Condition Index,0.804,index 0-1,Heat_Raw_HHRI
101031016,Jindabyne - Berridale,New South Wales,Health,Health Status Index,0.144,index 0-1,Heat_Raw_HHRI
101031016,Jindabyne - Berridale,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.188,index 0-1; higher means less risk,Heat_Raw_HHRI
101031016,Jindabyne - Berridale,New South Wales,Age,Population aged 65+,14.7,%,Social_Raw_AGE
101031016,Jindabyne - Berridale,New South Wales,Disadvantage,IRSD score,1054.0,score,SEIFA_Raw
