region_code,region_name,state_name,category,indicator,value,unit,source_sheet
105011096,Walgett - Lightning Ridge,New South Wales,Heat,Heat-Health Risk Index,0.998,index 0-1,Heat_Raw_HHRI
105011096,Walgett - Lightning Ridge,New South Wales,Heat,Heat Exposure Index,0.937,index 0-1,Heat_Raw_HHRI
105011096,Walgett - Lightning Ridge,New South Wales,Social,Social Vulnerability Index,0.939,index 0-1,Heat_Raw_HHRI
105011096,Walgett - Lightning Ridge,New South Wales,Housing,Housing Condition Index,0.679,index 0-1,Heat_Raw_HHRI
105011096,Walgett - Lightning Ridge,New South Wales,Health,Health Status Index,0.59,index 0-1,Heat_Raw_HHRI
105011096,Walgett - Lightning Ridge,New South Wales,Adaptive Capacity,Adaptive Capacity Index,0.082,index 0-1; higher means less risk,Heat_Raw_HHRI
105011096,Walgett - Lightning Ridge,New South Wales,Age,Population aged 65+,22.9,%,Social_Raw_AGE
105011096,Walgett - Lightning Ridge,New South Wales,Disadvantage,IRSD score,883.0,score,SEIFA_Raw
307011171,Balonne,Queensland,Heat,Heat-Health Risk Index,0.996,index 0-1,Heat_Raw_HHRI
307011171,Balonne,Queensland,Heat,Heat Exposure Index,0.997,index 0-1,Heat_Raw_HHRI
307011171,Balonne,Queensland,Social,Social Vulnerability Index,0.848,index 0-1,Heat_Raw_HHRI
307011171,Balonne,Queensland,Housing,Housing Condition Index,0.599,index 0-1,Heat_Raw_HHRI
307011171,Balonne,Queensland,Health,Health Status Index,0.586,index 0-1,Heat_Raw_HHRI
307011171,Balonne,Queensland,Adaptive Capacity,Adaptive Capacity Index,0.07,index 0-1; higher means less risk,Heat_Raw_HHRI
307011171,Balonne,Queensland,Age,Population aged 65+,17.3,%,Social_Raw_AGE
307011171,Balonne,Queensland,Disadvantage,IRSD score,943.0,score,SEIFA_Raw
307011174,Inglewood - Waggamba,Queensland,Heat,Heat-Health Risk Index,0.999,index 0-1,Heat_Raw_HHRI
307011174,Inglewood - Waggamba,Queensland,Heat,Heat Exposure Index,0.998,index 0-1,Heat_Raw_HHRI
307011174,Inglewood - Waggamba,Queensland,Social,Social Vulnerability Index,0.886,index 0-1,Heat_Raw_HHRI
307011174,Inglewood - Waggamba,Queensland,Housing,Housing Condition Index,0.448,index 0-1,Heat_Raw_HHRI
307011174,Inglewood - Waggamba,Queensland,Health,Health Status Index,0.693,index 0-1,Heat_Raw_HHRI
307011174,Inglewood - Waggamba,Queensland,Adaptive Capacity,Adaptive Capacity Index,0.056,index 0-1; higher means less risk,Heat_Raw_HHRI
307011174,Inglewood - Waggamba,Queensland,Age,Population aged 65+,22.8,%,Social_Raw_AGE
307011174,Inglewood - Waggamba,Queensland,Disadvantage,IRSD score,928.0,score,SEIFA_Raw
307011175,Miles - Wandoan,Queensland,Heat,Heat-Health Risk Index,0.996,index 0-1,Heat_Raw_HHRI
307011175,Miles - Wandoan,Queensland,Heat,Heat Exposure Index,0.986,index 0-1,Heat_Raw_HHRI
307011175,Miles - Wandoan,Queensland,Social,Social Vulnerability Index,0.835,index 0-1,Heat_Raw_HHRI
307011175,Miles - Wandoan,Queensland,Housing,Housing Condition Index,0.594,index 0-1,Heat_Raw_HHRI
307011175,Miles - Wandoan,Queensland,Health,Health Status Index,0.628,index 0-1,Heat_Raw_HHRI
307011175,Miles - Wandoan,Queensland,Adaptive Capacity,Adaptive Capacity Index,0.039,index 0-1; higher means less risk,Heat_Raw_HHRI
307011175,Miles - Wandoan,Queensland,Age,Population aged 65+,19.5,%,Social_Raw_AGE
307011175,Miles - Wandoan,Queensland,Disadvantage,IRSD score,950.0,score,SEIFA_Raw
