region_code,region_name,state_name,population_hhri_2022,population_age_2024,area_sqkm,population_density_per_sqkm,hhri,hhri_quintile,exposure_index,exposure_quintile,vulnerability_index,vulnerability_quintile,housing_index,health_status_index,adaptive_capacity_index,ses_index,household_composition_index,language_culture_index,cool_places_index,social_connectedness_index,health_access_index,pct_children_0_14_2024,pct_working_age_15_64_2024,pct_65_plus_2024,median_age_2024,sex_ratio_2024,seifa_irsd_score,seifa_irsd_decile,seifa_irsad_score,seifa_irsad_decile,custom_simple_score,chart_status
101021007,Braidwood,New South Wales,4364.0,4484.0,3418.3525,1.276638380623414,0.39,2.0,0.127,1.0,0.339,2.0,0.249,0.787,0.133,0.384,0.565,0.084,0.094,0.834,0.101,15.7,57.2,27.0,51.0,108.8,1024.0,6.0,1001.0,6.0,0.474,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101021008,Karabar,New South Wales,8535.0,8446.0,6.9825,1222.34156820623,0.678,4.0,0.402,3.0,0.72,4.0,0.498,0.681,0.322,0.578,0.639,0.725,0.292,0.586,0.44,18.1,66.4,15.5,38.1,101.0,994.0,5.0,982.0,5.0,0.596,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101021009,Queanbeyan,New South Wales,11376.0,11373.0,4.762,2388.912221755565,0.7,4.0,0.395,2.0,0.901,5.0,0.91,0.742,0.454,0.415,0.874,0.923,0.426,0.154,0.905,15.1,70.4,14.4,36.9,103.9,1010.0,5.0,998.0,6.0,0.699,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101021010,Queanbeyan - East,New South Wales,5093.0,5132.0,13.0032,391.6728189984004,0.565,3.0,0.04,1.0,0.755,4.0,0.891,0.528,0.192,0.216,0.732,0.875,0.363,0.214,0.56,16.0,70.8,13.2,35.9,108.4,1025.0,6.0,1015.0,6.0,0.604,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101021012,Queanbeyan West - Jerrabomberra,New South Wales,12775.0,12877.0,13.6748,934.2001345540702,0.018,1.0,0.083,1.0,0.092,1.0,0.268,0.241,0.772,0.055,0.125,0.414,0.684,0.783,0.392,21.6,67.9,10.4,37.8,99.8,1098.0,10.0,1107.0,9.0,0.182,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101021610,Googong,New South Wales,6723.0,8497.0,6.9164,972.0374761436585,0.143,1.0,0.021,1.0,0.055,1.0,0.227,0.074,0.181,0.021,0.052,0.524,0.533,0.288,0.301,30.4,65.5,4.1,32.6,100.4,1128.0,10.0,1154.0,10.0,0.239,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101021611,Queanbeyan Surrounds,New South Wales,16841.0,17664.0,3047.7057,5.525796011078103,0.134,1.0,0.319,2.0,0.034,1.0,0.113,0.403,0.478,0.058,0.067,0.098,0.533,0.939,0.044,19.5,64.2,16.2,42.0,106.5,1098.0,10.0,1105.0,9.0,0.278,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101031013,Bombala,New South Wales,2463.0,2469.0,3990.144,0.6172709556346839,0.479,3.0,0.043,1.0,0.656,4.0,0.292,0.797,0.23,0.754,0.667,0.431,0.108,0.914,0.164,16.0,55.2,28.8,48.6,100.1,965.0,3.0,935.0,3.0,0.512,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101031014,Cooma,New South Wales,6663.0,6716.0,103.6371,64.29164845407678,0.715,4.0,0.102,1.0,0.903,5.0,0.575,0.869,0.141,0.588,0.96,0.886,0.074,0.568,0.403,17.6,59.6,22.8,43.3,104.2,982.0,4.0,953.0,4.0,0.662,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
101031015,Cooma Surrounds,New South Wales,3503.0,3554.0,6251.0158,0.56038892110943,0.215,2.0,0.366,2.0,0.174,1.0,0.039,0.647,0.505,0.388,0.296,0.138,0.539,0.983,0.019,14.2,59.6,26.3,51.3,112.7,1039.0,7.0,1007.0,6.0,0.344,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
