region_code,region_name,state_name,population_hhri_2022,population_age_2024,area_sqkm,population_density_per_sqkm,hhri,hhri_quintile,exposure_index,exposure_quintile,vulnerability_index,vulnerability_quintile,housing_index,health_status_index,adaptive_capacity_index,ses_index,household_composition_index,language_culture_index,cool_places_index,social_connectedness_index,health_access_index,pct_children_0_14_2024,pct_working_age_15_64_2024,pct_65_plus_2024,median_age_2024,sex_ratio_2024,seifa_irsd_score,seifa_irsd_decile,seifa_irsad_score,seifa_irsad_decile,custom_simple_score,chart_status
406021139,Coober Pedy,South Australia,1576.0,1526.0,77.6795,20.28849310307095,1.0,5.0,0.948,5.0,0.929,5.0,0.742,0.522,0.014,0.98,0.807,0.943,0.016,0.216,0.203,11.1,58.2,30.7,51.4,137.7,868.0,1.0,868.0,1.0,0.825,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
307011174,Inglewood - Waggamba,Queensland,4113.0,4178.0,17523.0601,0.234719277142695,0.999,5.0,0.998,5.0,0.886,5.0,0.448,0.693,0.056,0.857,0.874,0.903,0.002,0.706,0.088,20.3,56.9,22.8,44.0,113.6,928.0,2.0,914.0,2.0,0.794,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
702021056,Tennant Creek,Northern Territory,3511.0,3520.0,42.0605,83.47499435337194,0.999,5.0,0.887,5.0,0.966,5.0,0.933,0.512,0.018,0.986,0.813,0.984,0.062,0.051,0.393,22.6,67.3,10.1,33.2,102.0,791.0,1.0,867.0,1.0,0.856,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
105011096,Walgett - Lightning Ridge,New South Wales,5807.0,5784.0,27011.1328,0.2149854300075856,0.998,5.0,0.937,5.0,0.939,5.0,0.679,0.59,0.082,0.931,0.95,0.92,0.027,0.501,0.382,20.5,56.6,22.9,44.7,100.3,883.0,1.0,894.0,2.0,0.813,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
319011492,Ashfield - Kepnock,Queensland,5801.0,5923.0,8.0749,718.3989894611699,0.998,5.0,0.924,5.0,0.982,5.0,0.681,0.945,0.087,0.856,0.971,0.916,0.194,0.417,0.319,19.8,58.6,21.6,39.8,93.0,935.0,2.0,903.0,2.0,0.889,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
319011502,Walkervale - Avenell Heights,Queensland,11145.0,11322.0,12.442,895.7563092750362,0.997,5.0,0.95,5.0,0.964,5.0,0.68,0.986,0.13,0.956,0.971,0.624,0.123,0.371,0.531,17.7,58.3,24.0,42.1,90.9,887.0,1.0,861.0,1.0,0.89,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
402021029,Davoren Park,South Australia,19042.0,20026.0,9.4649,2011.854324926835,0.997,5.0,0.89,5.0,0.974,5.0,0.917,0.696,0.081,0.938,0.892,0.833,0.251,0.084,0.572,25.0,65.8,9.2,31.2,95.6,792.0,1.0,799.0,1.0,0.879,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
307011171,Balonne,Queensland,4362.0,4356.0,31104.0851,0.1402388138399223,0.996,5.0,0.997,5.0,0.848,5.0,0.599,0.586,0.07,0.757,0.741,0.898,0.034,0.563,0.268,20.0,62.7,17.3,39.5,102.9,943.0,2.0,929.0,3.0,0.792,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
307011175,Miles - Wandoan,Queensland,4257.0,4357.0,11841.615,0.3594948830881599,0.996,5.0,0.986,5.0,0.835,5.0,0.594,0.628,0.039,0.543,0.858,0.91,0.055,0.494,0.148,19.6,60.9,19.5,39.2,103.3,950.0,3.0,933.0,3.0,0.801,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
315021404,Carpentaria,Queensland,5126.0,5238.0,114443.5786,0.0447906301315188,0.996,5.0,0.986,5.0,0.817,5.0,0.775,0.317,0.021,0.984,0.543,0.85,0.129,0.09,0.316,24.7,65.3,10.0,31.0,106.5,719.0,1.0,797.0,1.0,0.775,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
